product_id,total_orders,total_quantity,total_revenue,avg_price,avg_discount,unique_customers,avg_order_value,revenue_per_customer,revenue_share_pct
7,14934,193591,4622953.08,31.84,25.0,13892,309.55893129770993,332.7780794701987,0.51
8,14939,193244,12502886.8,89.86,28.0,13851,836.9292991498762,902.6703342718938,1.38
12,14907,194726,7204862.0,49.34,25.0,13859,483.3207218085463,519.8688217043077,0.79
16,14865,193352,7407315.12,54.71999999999999,30.0,13745,498.3057598385469,538.909794106948,0.82
32,14901,193861,14204195.469999999,96.41,24.0,13844,953.2377337091469,1026.0181645478185,1.56
36,15087,195959,12349336.180000002,69.26,9.0,14010,818.54153774773,881.4658229835833,1.36
39,15063,196196,14018204.200000001,75.21,5.0,13936,930.638265949678,1005.8986940298508,1.54
47,14998,196463,7593294.949999999,47.13,18.0,13958,506.2871682891052,544.0102414386015,0.84
55,14911,193266,1061030.34,6.62,17.0,13797,71.1575575078801,76.9029745596869,0.12
57,14896,192256,1855270.4000000001,12.21,21.0,13822,124.54822771213749,134.225900737954,0.2
59,14938,194227,13283184.53,73.54,7.0,13866,889.2210824742267,957.9680174527621,1.46
60,14981,194685,5307113.100000001,31.69,14.0,13906,354.256264601829,381.6419603049044,0.58
62,14904,194625,3571368.7500000005,19.52,6.0,13819,239.62484903381645,258.4390151241045,0.39
67,15044,195328,693414.3999999999,3.78,6.0,13960,46.09242222813081,49.67151862464183,0.08
73,14914,194108,6735547.600000001,48.19,28.0,13800,451.62582808099774,488.0831594202899,0.74
90,15011,195313,11373075.99,69.32,16.0,13906,757.6494563986411,817.8538753056234,1.25
91,14884,193271,8378297.850000001,57.04,24.0,13833,562.9063323031444,605.6746801127738,0.92
94,14989,195587,6808383.470000001,43.51,20.0,13951,454.2253299085997,488.02117912694433,0.75
95,15078,195057,6514903.8,46.39,28.0,13963,432.0801034619976,466.5833846594571,0.72
103,15154,196214,13419075.46,72.75,6.0,14118,885.513756103999,950.4940827312652,1.48
104,14955,194227,13739617.979999999,98.25,28.0,13861,918.7307241725175,991.2429103239303,1.51
105,14941,194269,12310826.53,68.88,8.0,13867,823.9626885750619,887.7786493113146,1.36
110,15021,195949,5696237.43,40.94,29.0,13987,379.2182564409826,407.2522649603203,0.63
112,14868,192674,14814703.86,81.79000000000002,6.0,13807,996.4153793381759,1072.984997465054,1.63
115,14883,194151,6208948.98,45.05,29.0,13804,417.1839669421488,449.79346421327153,0.68
120,14871,193962,444172.98,2.73,16.0,13792,29.868400242081904,32.20511745939675,0.05
134,14858,193600,7252256.0,39.85,6.0,13805,488.10445551218197,525.3354581673307,0.8
137,14918,193835,11568072.8,84.06,29.0,13828,775.4439469097734,836.5687590396298,1.27
139,14891,192636,3754475.6399999997,21.42,9.0,13849,252.1305244778725,271.1008477146364,0.41
144,14931,192554,14755413.02,95.79,20.0,13870,988.2401058201058,1063.8365551550107,1.62
147,14955,193615,8166680.7,49.62,15.0,13868,546.083630892678,588.8866959907701,0.9
148,14960,195526,4856865.84,28.56,13.0,13842,324.656807486631,350.8789076723017,0.53
152,14954,193391,10690654.48,58.81,6.0,13920,714.9026668449914,768.0067873563219,1.18
153,15056,194984,11777033.6,70.24,14.0,13954,782.2153028692879,843.9897950408484,1.3
159,14942,193938,14469714.18,92.10999999999999,19.0,13876,968.3920613037077,1042.7871274142403,1.59
161,15215,197807,10608389.41,64.61,17.0,14130,697.2322977325008,750.7706588818118,1.17
179,15058,197573,15410694.0,83.88,7.0,13935,1023.422366848187,1105.8983853606028,1.7
184,15055,196026,4585048.14,26.58,12.0,13965,304.553181002989,328.32424919441456,0.5
185,14849,191515,7511218.3,48.42,19.0,13792,505.8400094282443,544.6068953016241,0.83
187,14900,193009,7189585.25,41.38,10.0,13809,482.5225,520.6448873922805,0.79
191,14935,193591,1453868.41,10.28,27.0,13875,97.34639504519585,104.78330882882882,0.16
192,14903,194445,4602513.15,29.59,20.0,13837,308.83131919747706,332.6236286767363,0.51
197,14975,195462,2136399.66,13.01,16.0,13874,142.6644180300501,153.9858483494306,0.24
199,14947,192678,13651236.299999999,95.74,26.0,13846,913.3094467117146,985.933576484183,1.5
209,14936,194386,5578878.2,32.99,13.0,13820,373.5188939475094,403.68149059334297,0.61
216,14945,194523,5997144.09,39.03,21.0,13840,401.28096955503514,433.3196596820809,0.66
226,14914,194676,15058188.6,92.09,16.0,13841,1009.6680032184524,1087.9407990752113,1.66
231,14940,193513,10970251.969999999,68.31,17.0,13877,734.2872804551539,790.5348396627512,1.21
233,14920,194907,9160629.0,56.61999999999999,17.0,13847,613.9831769436997,661.5605546327724,1.01
235,14897,193908,5351860.800000001,34.51,20.0,13825,359.2576223400685,387.114705244123,0.59
246,14943,194054,7630203.28,48.54,19.0,13903,510.62057685872986,548.8170380493419,0.84
249,14927,192754,13587229.459999999,76.62,8.0,13906,910.2451570978762,977.0767625485402,1.5
253,15004,193655,12992313.950000001,76.24,12.0,13890,865.9233504398828,935.3717746580274,1.43
259,14922,193581,10312059.870000001,67.44,21.0,13814,691.0641917973463,746.49340306935,1.14
266,15068,196090,10818285.3,68.11,19.0,14017,717.9642487390497,771.79748162945,1.19
267,14849,192455,848726.55,5.13,14.0,13785,57.15715199676746,61.56884657236127,0.09
270,14969,194070,747169.5,4.42,13.0,13901,49.91445654352328,53.74933458024603,0.08
273,14940,192356,12387726.4,77.59,17.0,13849,829.1650870147256,894.4852624738248,1.36
279,14922,194190,15935231.4,91.18,10.0,13881,1067.9018496180138,1147.9887183920466,1.75
280,15038,196136,10671759.76,61.84,12.0,13917,709.6528634126878,766.8146698282676,1.18
281,14823,193215,4857425.100000001,33.08,24.0,13764,327.6951426836673,352.90795553618136,0.53
290,14890,191331,6013533.33,38.8,19.0,13815,403.8638905305574,435.29014332247556,0.66
297,14911,193048,12648504.959999999,81.9,20.0,13844,848.2667131647776,913.6452585957815,1.39
298,14971,194035,17461209.65,95.74000000000001,6.0,13897,1166.3355587469107,1256.4733143843994,1.92
306,14950,194884,6881354.04,43.6,19.0,13864,460.29124013377924,496.3469446047317,0.76
308,14933,195259,14281243.26,88.12,17.0,13912,956.3546012187771,1026.5413499137435,1.57
311,14999,194864,6738397.119999999,40.21,14.0,13870,449.2564250950063,485.82531506849307,0.74
316,14917,193539,10847860.95,65.94,15.0,13829,727.2146510692498,784.4284438498806,1.19
319,14914,195913,12317050.309999999,77.62,19.0,13848,825.8716849939653,889.4461517908722,1.36
324,14967,195827,13770554.639999999,87.9,20.0,13864,920.0611104429745,993.2598557414886,1.52
327,14901,194300,1109453.0,7.14,20.0,13819,74.45493591034159,80.28460814820176,0.12
331,14941,195573,11327588.16,67.35,14.0,13814,758.1546188340807,820.0078297379471,1.25
332,14955,195749,9826599.8,59.76,16.0,13873,657.0778869943164,708.3255099834211,1.08
344,14924,193971,10230030.540000001,63.54,17.0,13816,685.4751098901099,740.4480703532138,1.13
345,14943,195509,17155914.75,98.6,11.0,13870,1148.0903934952821,1236.9080569574621,1.89
356,14913,194990,2704511.3,17.13,19.0,13855,181.35259840407696,195.2011042944785,0.3
358,14998,195447,15231184.71,84.71,8.0,13940,1015.547720362715,1092.6244411764706,1.68
359,14904,193599,9354703.68,69.03,30.0,13775,627.663961352657,679.1073451905626,1.03
364,14951,193231,1230881.47,8.84,28.0,13852,82.32770182596482,88.85947660987583,0.14
365,14968,196070,2178337.6999999997,12.630000000000003,12.0,13885,145.5329836985569,156.88424198775655,0.24
369,15105,194779,14094208.44,87.18,17.0,14009,933.0823197616683,1006.0824070240559,1.55
370,14907,195037,3840278.5300000003,21.88,10.0,13847,257.6157865432347,277.33650104715827,0.42
376,14875,193391,7023961.12,40.81,11.0,13764,472.1990668907563,510.3139436210404,0.77
377,14892,195136,12012572.16,75.08,18.0,13853,806.6459951651893,867.1459005269617,1.32
396,14911,194866,6689749.779999999,36.92,7.0,13781,448.6452806652806,485.43282635512656,0.74
407,15013,194536,12893846.08,69.77,5.0,13906,858.8454059814827,927.2145893858766,1.42
408,14913,192762,12321347.040000001,68.73,7.0,13837,826.2151840675921,890.4637594854377,1.36
409,14918,193191,3771088.32,23.52,17.0,13860,252.7877946105376,272.0842943722944,0.42
413,14948,194193,17601653.52,95.41,5.0,13856,1177.5256569440728,1270.3271882217089,1.94
416,14903,194888,15513084.799999999,84.68,6.0,13828,1040.9370462323022,1121.8603413364187,1.71
418,14831,193218,13903967.28,92.25,22.0,13747,937.4935796642168,1011.4182934458427,1.53
419,14936,193834,13190403.7,86.13,21.0,13798,883.128260578468,955.9649007102478,1.45
421,14951,193991,6776105.63,38.81,10.0,13878,453.2208969299712,488.2624030840179,0.75
422,14957,193036,7474353.92,50.29,23.0,13891,499.7228000267433,538.071695342308,0.82
424,14929,192788,14736714.719999999,85.88,11.0,13845,987.1200160760934,1064.406985915493,1.62
425,15095,195790,9895226.6,56.78999999999999,11.0,14009,655.5300828088771,706.3478192590477,1.09
429,14938,195738,10372156.62,57.6,8.0,13888,694.3470759137768,746.8430745967742,1.14
432,14830,193089,4800192.54,32.72,24.0,13796,323.68122319622387,347.9408915627718,0.53
439,14960,195603,9435888.72,56.09,14.0,13860,630.7412245989306,680.800051948052,1.04
442,14948,194762,10933938.68,72.9,23.0,13890,731.4649906341986,787.1806105111591,1.2
