customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
1,3,13,556.86,3,2,1,321,Potential Loyalist
2,17,14,636.08,1,2,1,121,Lost
3,7,9,445.21999999999997,2,1,1,211,Lost
4,1,19,773.7,4,4,1,441,Loyal Customers
5,7,18,811.15,2,3,1,231,Needs Attention
6,1,16,958.0899999999999,4,3,1,431,Loyal Customers
7,11,18,822.05,2,3,1,231,Needs Attention
8,10,6,300.02,2,1,1,211,Lost
9,1,12,401.02,4,1,1,411,New Customers
10,2,15,865.85,4,2,1,421,New Customers
11,16,15,781.6,1,2,1,121,Lost
12,2,16,658.6,4,3,1,431,Loyal Customers
13,0,18,918.31,4,3,1,431,Loyal Customers
14,10,17,887.31,2,3,1,231,Needs Attention
15,3,15,769.73,3,2,1,321,Potential Loyalist
16,12,11,519.13,1,1,1,111,Lost
17,9,18,845.99,2,3,1,231,Needs Attention
18,18,9,444.81,1,1,1,111,Lost
19,5,14,653.73,3,2,1,321,Potential Loyalist
20,5,12,411.82,3,1,1,311,Potential Loyalist
21,2,10,313.82,4,1,1,411,New Customers
22,16,14,717.77,1,2,1,121,Lost
23,15,19,881.1,1,4,1,141,Needs Attention
24,6,15,649.94,2,2,1,221,Lost
25,0,19,889.78,4,4,1,441,Loyal Customers
26,25,15,723.43,1,2,1,121,Lost
27,0,17,910.24,4,3,1,431,Loyal Customers
28,11,11,555.5699999999999,2,1,1,211,Lost
29,26,8,445.38,1,1,1,111,Lost
30,0,18,843.09,4,3,1,431,Loyal Customers
31,13,13,714.0899999999999,1,2,1,121,Lost
32,5,17,815.7,3,3,1,331,Loyal Customers
33,13,15,596.28,1,2,1,121,Lost
34,0,21,1070.66,4,4,1,441,Loyal Customers
35,6,17,713.5,2,3,1,231,Needs Attention
36,52,11,521.84,1,1,1,111,Lost
37,2,10,409.01,4,1,1,411,New Customers
38,4,20,964.28,3,4,1,341,Loyal Customers
39,3,16,843.71,3,3,1,331,Loyal Customers
40,34,21,969.65,1,4,1,141,Needs Attention
41,8,19,760.48,2,4,1,241,Needs Attention
42,12,22,1051.6200000000001,1,4,1,141,Needs Attention
43,10,20,864.41,2,4,1,241,Needs Attention
44,6,17,792.46,2,3,1,231,Needs Attention
45,4,13,575.06,3,2,1,321,Potential Loyalist
46,2,22,992.5600000000001,4,4,1,441,Loyal Customers
47,25,10,546.98,1,1,1,111,Lost
48,14,16,820.9,1,3,1,131,Needs Attention
49,4,17,792.34,3,3,1,331,Loyal Customers
50,13,18,866.5899999999999,1,3,1,131,Needs Attention
51,8,16,554.19,2,3,1,231,Needs Attention
52,3,20,1124.01,3,4,1,341,Loyal Customers
53,24,19,894.83,1,4,1,141,Needs Attention
54,15,13,535.66,1,2,1,121,Lost
55,4,17,623.37,3,3,1,331,Loyal Customers
