customer_id,first_order_date,last_order_date,active_days,total_orders,total_products,unique_products,total_revenue,avg_order_value,inactive_days,customer_lifetime_days,status
94959,2026-01-02,2026-05-09,24,27,675,22,37650.5,1394.462962962963,0,127,Active
92626,2026-01-02,2026-05-03,24,27,648,21,36344.88,1346.1066666666666,6,127,Active
97967,2026-01-03,2026-04-05,28,32,800,27,36049.75,1126.5546875,34,126,Inactive
95446,2026-01-11,2026-05-06,18,23,575,19,35454.0,1541.4782608695652,3,118,Active
92618,2026-01-02,2026-05-05,24,26,624,24,35352.479999999996,1359.710769230769,4,127,Active
96152,2026-01-07,2026-05-09,23,24,600,22,35064.5,1461.0208333333333,0,122,Active
90180,2026-01-09,2026-05-08,22,30,690,28,35016.58,1167.2193333333335,1,120,Active
90219,2026-01-09,2026-05-05,25,28,644,23,34982.08,1249.3600000000001,4,120,Active
96636,2026-01-15,2026-05-02,19,25,625,23,34584.5,1383.38,7,114,Active
88466,2026-01-01,2026-05-09,25,28,644,26,34100.72,1217.8828571428571,0,128,Active
