product_id,total_orders,total_quantity,total_revenue,avg_price,avg_discount,unique_customers,avg_order_value,revenue_per_customer,revenue_share_pct
413,14948,194193,17601653.52,95.41,5.0,13856,1177.5256569440728,1270.3271882217089,1.94
298,14971,194035,17461209.65,95.74000000000001,6.0,13897,1166.3355587469107,1256.4733143843994,1.92
345,14943,195509,17155914.75,98.6,11.0,13870,1148.0903934952821,1236.9080569574621,1.89
279,14922,194190,15935231.4,91.18,10.0,13881,1067.9018496180138,1147.9887183920466,1.75
416,14903,194888,15513084.799999999,84.68,6.0,13828,1040.9370462323022,1121.8603413364187,1.71
179,15058,197573,15410694.0,83.88,7.0,13935,1023.422366848187,1105.8983853606028,1.7
358,14998,195447,15231184.71,84.71,8.0,13940,1015.547720362715,1092.6244411764706,1.68
226,14914,194676,15058188.6,92.09,16.0,13841,1009.6680032184524,1087.9407990752113,1.66
112,14868,192674,14814703.86,81.79000000000002,6.0,13807,996.4153793381759,1072.984997465054,1.63
144,14931,192554,14755413.02,95.79,20.0,13870,988.2401058201058,1063.8365551550107,1.62
