,product_id,category_id,product_name,price,manufacture_date,expiry_date,quantity,discount
0,1,3,Flour - Whole Wheat,74.2988,2018-02-16 08:21:49.190,2018-03-18 08:21:49.190,40,28
1,2,3,Cookie Chocolate Chip With,91.2329,2017-02-12 11:39:10.970,2017-03-14 11:39:10.970,90,20
2,3,9,Onions - Cippolini,9.1379,2018-03-15 08:11:51.560,2018-04-14 08:11:51.560,77,19
3,4,9,"Sauce - Gravy, Au Jus, Mix",54.3055,2017-07-16 00:46:28.880,2017-08-15 00:46:28.880,60,7
4,5,2,Artichokes - Jerusalem,65.4771,2017-08-16 14:13:35.430,2017-09-15 14:13:35.430,75,24
5,6,8,Wine - Magnotta - Cab Sauv,79.7184,2017-05-25 15:08:39.690,2017-06-24 15:08:39.690,88,20
6,7,9,Table Cloth - 53x69 Colour,31.837,2017-02-24 15:14:30.050,2017-03-26 15:14:30.050,20,17
7,8,5,Halibut - Steaks,89.8573,2018-03-24 05:21:21.890,2018-04-23 05:21:21.890,33,12
8,9,11,Rabbit - Whole,84.4219,2017-06-17 12:12:04.670,2017-07-17 12:12:04.670,58,6
9,10,4,Scampi Tail,95.0957,2017-07-30 10:11:45.990,2017-08-29 10:11:45.990,76,10
10,11,9,Garbage Bags - Clear,6.2949,2017-01-05 21:02:21.330,2017-02-04 21:02:21.330,79,6
11,12,4,Ezy Change Mophandle,49.3356,2017-11-01 09:49:59.030,2017-12-01 09:49:59.030,79,9
12,13,11,"Water, Tap",28.2232,2017-01-16 19:49:10.930,2017-02-15 19:49:10.930,22,19
13,14,7,Beef - Top Sirloin,3.3324,2017-02-26 11:40:47.850,2017-03-28 11:40:47.850,33,21
14,15,1,"Spoon - Soup, Plastic",32.442,2017-03-03 09:47:09.310,2017-04-02 09:47:09.310,56,10
15,16,2,Kellogs Special K Cereal,54.7246,2017-01-23 09:25:47.110,2017-02-22 09:25:47.110,70,19
16,17,10,"Wine - White, Mosel Gold",43.9182,2017-03-01 14:03:04.920,2017-03-31 14:03:04.920,59,16
17,18,10,"Lamb - Whole, Fresh",23.3966,2017-12-19 16:45:04.730,2018-01-18 16:45:04.730,32,8
18,19,3,Tea - Earl Grey,22.5614,2017-06-14 22:39:53.340,2017-07-14 22:39:53.340,88,12
19,20,3,Chocolate - Feathers,85.9011,2017-07-21 11:13:57.550,2017-08-20 11:13:57.550,93,12
20,21,7,Kiwi,46.7252,2018-05-09 08:59:46.150,2018-06-08 08:59:46.150,30,19
21,22,6,Rice - Jasmine Sented,27.8955,2017-05-09 14:08:23.630,2017-06-08 14:08:23.630,90,6
22,23,11,Crab - Imitation Flakes,79.0184,2017-08-19 07:18:29.890,2017-09-18 07:18:29.890,38,5
23,24,3,"Beer - Alexander Kieths, Pale Ale",89.037,2017-05-23 03:36:02.420,2017-06-22 03:36:02.420,33,11
24,25,10,Soupcontfoam16oz 116con,80.7666,2017-04-09 15:30:41.250,2017-05-09 15:30:41.250,92,29
25,26,11,Squid U5 - Thailand,33.7821,2018-03-26 19:31:26.970,2018-04-25 19:31:26.970,85,21
26,27,1,Chocolate - Compound Coating,17.1724,2017-10-29 17:27:27.280,2017-11-28 17:27:27.280,90,16
27,28,9,Sobe - Tropical Energy,12.3153,2017-10-25 04:23:48.230,2017-11-24 04:23:48.230,49,6
28,29,7,Spinach - Baby,33.5883,2017-08-06 17:21:24.000,2017-09-05 17:21:24.000,31,22
29,30,6,"Cheese - Brie, Triple Creme",67.899,2018-03-21 19:28:46.740,2018-04-20 19:28:46.740,55,29
30,31,2,Yeast Dry - Fermipan,73.9851,2017-04-17 23:33:06.110,2017-05-17 23:33:06.110,73,20
31,32,3,Lettuce - Treviso,96.4127,2017-01-09 18:29:05.790,2017-02-08 18:29:05.790,77,6
